Nr.;Feldname;Wert
1;Kennung;synlabRieckInterfaceID
2;Auftragsnummer Kunde;10069
3;Bereitstelldatum;
4;Bereitstelluhrzeit;
5;Referenz 1;
6;Referenz 2;
7;Referenz 3;
8;Name 1, Kunde;Standort
9;Name 2, Kunde;Berlin
10;Name 3, Kunde;
11;Straße, Kunde;Herbertstraße 45
12;PLZ, Kunde;03030
13;Ort, Kunde;Berlin
14;Land, Kunde;DE
15;Name 1, Lieferanschrift;Herbata
16;Name 2, Lieferanschrift;Tee
17;Name 3, Lieferanschrift;
18;Straße, Lieferanschrift;Völkerschlachtdenkmal 3
19;PLZ, Lieferanschrift;12345
20;Ort, Lieferanschrift;Dortmund
21;Land, Lieferanschrift;DE
22;Mailadresse, Lieferanschrift;iifsanalyzer@gmail.com
23;Telefon, Lieferanschrift;
24;Fixtermindatum;
25;Fixterminuhrzeit;
26;Speditionshinweis 1;
27;Speditionshinweis 1, Zusatzhinweis;
28;Speditionshinweis 2;
29;Speditionshinweis 2, Zusatzhinweis;
30;Frankatur;
31;Frankatur, Zusatzinformation;
32;Warenwert;465.32
33;Versandart LFS;
34;Servicecode LFS;
35;Tour LFS;
36;Schnittstelle LFS;1
37;Priorität;02
